Carteira|Fonte|"Descrição"|"Valor"|Mês|Recorrência|Parcelado|Parcelas|"Categoria"
Pessoal|Sant-Bru|[AFETO CLINICA V EIRE]|305.00|Dez/2025|Pontual|Sim|Parcela 2/2|"SAÚDE"
Pessoal|Sant-Bru|[EsdrasElpidio]|303.68|Dez/2025|Pontual|Sim|Parcela 2/3|"PETSHOP"
Pessoal|Sant-Bru|[DROGARIA VENANCIO]|56.44|Dez/2025|Pontual|Sim|Parcela 2/2|"SAÚDE"
Pessoal|Sant-Bru|[VX CASE]|189.33|Dez/2025|Pontual|Sim|Parcela 3/3|"COMPRAS"
Pessoal|Sant-Bru|[MERCADOLIVRE*MERCADO]|60.45|Dez/2025|Pontual|Sim|Parcela 2/2|"COMPRAS"
Pessoal|Sant-Bru|[SEPHORA BARRA]|185.80|Dez/2025|Pontual|Sim|Parcela 2/3|"COMPRAS"
Pessoal|Sant-Bru|[KALUNGA BARRA SHOPPI]|74.05|Dez/2025|Pontual|Sim|Parcela 2/2|"COMPRAS"
Pessoal|Sant-Bru|[COBASI]|91.90|Dez/2025|Pontual|Sim|Parcela 2/2|"PETSHOP"
Pessoal|Sant-Bru|[AMAZON MARKETPLACE]|82.89|Dez/2025|Pontual|Sim|Parcela 2/2|"COMPRAS"
Pessoal|Sant-Bru|[RD SAUDE]|83.01|Dez/2025|Pontual|Sim|Parcela 2/2|"SAÚDE"
Pessoal|Sant-Bru|[AMAZONMKTPLC*ALPHACO]|88.42|Dez/2025|Pontual|Sim|Parcela 2/3|"COMPRAS"
Neuro|Sant-Gab|[DOCTORALIA]|579.00|Dez/2025|Pontual|Sim|Parcela 9/12|"ASSINATURAS"
Pessoal|Sant-Gab|[EBN CANVA04436]|24.15|Dez/2025|Pontual|Sim|Parcela 10/12|"ASSINATURAS"
Pessoal|Sant-Gab|[LOFTY STYLE COMERCIAL]|779.77|Dez/2025|Pontual|Sim|Parcela 4/6|"COMPRAS"
Pessoal|Sant-Gab|[RIOSKIN MEDICAL]|2290.00|Dez/2025|Pontual|Sim|Parcela 5/6|"SAÚDE"
Pessoal|Sant-Gab|[SEPHORA BARRA]|65.70|Dez/2025|Pontual|Sim|Parcela 9/10|"COMPRAS"
Pessoal|Sant-Gab|[VIVO RJ LJ J001]|801.00|Dez/2025|Pontual|Sim|Parcela 8/12|"COMPRAS"
Pessoal|Itau|[Uber uber *trip help.u]|73.39|Dez/2025|Pontual|Não|-|"TRANSPORTE"
Pessoal|Itau|[Uber* trip]|43.79|Dez/2025|Pontual|Não|-|"TRANSPORTE"
Pessoal|Itau|[Dra eliane brasil]|1425.00|Dez/2025|Pontual|Sim|Parcela 2/4|"SAÚDE"
Pessoal|Itau|[Kids park]|900.00|Dez/2025|Pontual|Não|-|"COMPRAS"
Pessoal|Itau|[Ifd*alv -ct]|79.00|Dez/2025|Pontual|Não|-|"COMIDA"
Pessoal|Itau|[Espaco vs hairco]|104.75|Dez/2025|Pontual|Não|-|"CUIDADOS"
Pessoal|Itau|[Rd saude]|114.52|Dez/2025|Pontual|Não|-|"SAÚDE"
Pessoal|Itau|[Cafeteria campo da paz]|22.88|Dez/2025|Pontual|Não|-|"COMIDA"
Pessoal|Itau|[Prime parking]|23.00|Dez/2025|Pontual|Não|-|"TRANSPORTE"
Pessoal|Itau|[Allpark empreendimento]|21.00|Dez/2025|Pontual|Não|-|"TRANSPORTE"
Pessoal|Itau|[Vlls market ltda me]|34.96|Dez/2025|Pontual|Não|-|"COMIDA"
Pessoal|Itau|[Giuseppe sq]|407.20|Dez/2025|Pontual|Não|-|"COMIDA"
Pessoal|Itau|[Lego barra]|250.02|Dez/2025|Pontual|Sim|Parcela 3/4|"COMPRAS"
Pessoal|Itau|[Kids park]|1766.70|Dez/2025|Pontual|Sim|Parcela 6/6|"COMPRAS"
Pessoal|Itau|[Nalu servicos medi]|465.00|Dez/2025|Pontual|Sim|Parcela 9/10|"SAÚDE"
